lake,date,mean_cyano,median_cyano,std_cyano,min_cyano,p10_cyano,p25_cyano,p75_cyano,p90_cyano,p95_cyano,max_cyano,valid_pixels,valid_percent,masked_percent,source_coverage_percent,clear_percent,mean_ndvi,mean_ndwi,satellite,mgrs_tiles,note
amatitlan,2025-01-28,4.437684535980225,4.491105556488037,0.367120623588562,0.3057246208190918,4.038251876831055,4.280774116516113,4.630420207977295,4.732485771179199,4.79367733001709,9.453113555908203,35983,95.77588501463934,4.22411498536066,100.0,99.36119244077722,-0.2241134345531463,0.4604031443595886,Sentinel-2B,15PYR;15PYS,
amatitlan,2025-04-15,4.518893241882324,4.630247116088867,1.2038538455963137,0.0860815048217773,3.364840507507324,3.5574655532836914,5.083440780639648,5.848915100097656,6.353096008300781,20.152606964111328,35527,94.56215065211605,5.43784934788395,100.0,98.35507053500132,-0.1035624742507934,0.292862981557846,Sentinel-2A,15PYR;15PYS,
amatitlan,2025-04-28,5.717925548553467,4.904947280883789,2.708690404891968,0.412947416305542,3.781451940536499,4.087015628814697,6.309657096862793,8.809344291687012,11.006954193115234,33.32426452636719,35460,94.38381687516636,5.616183124833644,100.0,98.36571732765503,-0.0803483054041862,0.2912366092205047,Sentinel-2B,15PYR;15PYS,
amatitlan,2025-11-24,4.68278169631958,4.0074238777160645,5.629298210144043,0.0143218040466308,3.167860507965088,3.5789148807525635,4.541961193084717,5.119610786437988,6.175183773040772,116.01893615722656,35929,95.6321533138142,4.3678466861857865,100.0,99.36385413894064,-0.2127452790737152,0.4320494532585144,Sentinel-2B,15PYR;15PYS,
amatitlan,2026-01-08,6.690025806427002,4.892258167266846,8.702851295471191,0.0406417846679687,4.396462440490723,4.72655200958252,5.17707109451294,7.712986946105957,13.11641788482666,129.5009765625,35759,95.1796646260314,4.820335373968592,100.0,98.9273356401384,-0.1044959872961044,0.355555385351181,Sentinel-2C,15PYR;15PYS,
amatitlan,2026-02-02,4.305152893066406,4.4363203048706055,0.3603995144367218,0.0070576667785644,3.8035731315612793,4.014621257781982,4.582557678222656,4.689960956573486,4.743129253387451,5.67492151260376,34291,91.27229172211872,8.727708277881288,100.0,95.30476443971254,-0.1088133677840232,0.2959131598472595,Sentinel-2B,15PYR;15PYS,
amatitlan,2026-02-07,4.303244590759277,4.463694095611572,0.4243619441986084,0.3856356143951416,3.667825222015381,4.010121822357178,4.634304523468018,4.723265647888184,4.768876552581787,10.582952499389648,35938,95.65610859728508,4.343891402714932,100.0,99.1322863987224,-0.1469341516494751,0.3637523055076599,Sentinel-2C,15PYR;15PYS,Cobertura válida parcial indicada por el PDF: aproximadamente 57.1%.
amatitlan,2026-03-29,6.430085182189941,5.241079807281494,3.900699138641357,0.2336659431457519,4.748279094696045,4.934338569641113,5.897067070007324,8.044718742370605,15.451101303100586,50.08632659912109,35870,95.47511312217196,4.524886877828054,100.0,98.3524088368379,-0.0966927111148834,0.3168610632419586,Sentinel-2C,15PYR;15PYS,
amatitlan,2026-04-13,6.730051040649414,6.418089389801025,1.4142240285873413,3.9095053672790527,5.402963161468506,5.740999221801758,7.171545028686523,8.577902793884277,9.55850601196289,22.036365509033203,36034,95.91163162097418,4.088368379025819,100.0,98.57599148256588,-0.0639929845929145,0.2942756116390228,Sentinel-2B,15PYR;15PYS,
amatitlan,2026-04-28,10.012560844421388,6.687098979949951,7.489023208618164,2.543187379837036,4.014001369476318,4.243822574615479,14.523783683776855,21.483539581298828,26.220996856689453,44.921871185302734,33649,89.56348150119777,10.436518498802236,100.0,93.63854138940644,0.0211109332740306,0.2302038371562957,Sentinel-2C,15PYR;15PYS,
