lake,month,mean,std,count
amatitlan,1,5.563855171203613,1.5926457858792398,2
amatitlan,2,4.304198741912842,0.0013493735019247833,2
amatitlan,3,6.430085182189941,,1
amatitlan,4,6.744857668876648,2.3585030909244304,4
amatitlan,6,11.418869972229004,,1
amatitlan,11,4.68278169631958,,1
atitlan,1,0.8766459226608276,,1
atitlan,2,1.0604482889175415,,1
atitlan,3,1.3167699575424194,,1
atitlan,4,1.9838111400604248,0.1770637994024045,3
atitlan,5,1.4479976892471311,,1
atitlan,7,1.6362432837486267,0.2864708649230913,2
atitlan,11,0.8797320127487183,,1
atitlan,12,0.8895382881164551,,1
