lake,index,n_pixels_pooled,pearson_r_pixel,pearson_p_pixel,spearman_r_pixel,spearman_p_pixel,pearson_r_temporal_means,pearson_p_temporal_means
amatitlan,NDVI,200000,0.77032036,0.0,0.6868989869740929,0.0,0.7499079323374387,0.00786427759866287
amatitlan,NDWI,200000,-0.6364455,0.0,-0.4980772985495637,0.0,-0.35474067505345946,0.28440879578090067
atitlan,NDVI,200000,0.76962745,0.0,0.7311660530418664,0.0,0.8978310928366056,0.00017562056192943118
atitlan,NDWI,200000,-0.79625463,0.0,-0.7553030265026898,0.0,-0.9611120022460843,2.4958902216565248e-06
